count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
60053,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,A6186,A638,434000,419070,53.66701179,-1.48689533,3.20,1.99,Estimated,"Estimated using previous year's AADF on this link",97,101,11526,437,1780,114,26,17,5,22,16,201,14045
57027,2014,8,"Yorkshire and The Humber",88,Wakefield,A6032,Major,A655,A656,442800,425900,53.72775228,-1.35277753,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",74,214,16107,788,2909,145,56,25,6,26,34,293,20310
60052,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,"M1 jn39",A6186,432000,417650,53.65437485,-1.51730931,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",101,126,23882,81,3760,323,89,73,32,138,151,806,28655
56617,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"Bridge Street","Ings Road/Kirkgate inersection",433770,420130,53.67655371,-1.49026124,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",157,376,40375,1190,6264,540,114,124,55,77,84,993,49199
37458,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,"A638 merge",A636,433300,420340,53.67847119,-1.49735340,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",88,261,23201,140,3670,256,45,52,18,67,48,487,27758
60051,2014,8,"Yorkshire and The Humber",88,Wakefield,A6186,Major,A636,A61,433000,417060,53.64901011,-1.50224217,2.00,1.24,Estimated,"Estimated using previous year's AADF on this link",32,91,13719,131,2446,208,71,88,20,51,126,564,16951
37457,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A642,"M1 jn40",430000,420580,53.68082740,-1.54728660,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",98,176,18443,204,3348,382,72,100,24,77,98,753,22924
73659,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,"LA Boundary",A637,427240,413850,53.62048907,-1.58965816,1.50,0.93,Estimated,"Estimated using previous year's AADF on this link",24,102,11527,42,1685,151,35,33,8,31,46,303,13659
74947,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,Westgate,"Charlesworth Way",432700,420470,53.67967736,-1.50642267,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",29,102,11667,142,1732,126,40,11,8,24,28,238,13881
74948,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"A645 spur","A645 spur",448270,423200,53.70301021,-1.27029807,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",31,68,10456,210,2384,192,70,118,4,31,187,601,13719
73662,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,M1,"LA Boundary",428000,421660,53.69064486,-1.57746788,3.20,1.99,Estimated,"Estimated using previous year's AADF on this link",38,114,20039,360,4360,295,119,167,45,240,308,1174,26047
37482,2014,8,"Yorkshire and The Humber",88,Wakefield,A650,Major,M1,A61,432000,423600,53.70785233,-1.51669780,3.50,2.17,Estimated,"Estimated using previous year's AADF on this link",54,182,17967,90,2422,280,67,127,21,50,48,593,21253
74943,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,"A636 Charlesworth Way",A638,433090,420250,53.67767559,-1.50054198,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",164,89,14866,118,1868,158,27,40,8,10,3,245,17188
74945,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,"Charlesworth Way",Westgate,432770,420550,53.68039202,-1.50535455,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",35,103,10389,74,1315,98,17,13,2,26,22,177,12058
57344,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,A6186,"A636 Charlesworth Way",433030,420000,53.67543242,-1.50147678,2.20,1.37,Estimated,"Estimated using previous year's AADF on this link",157,179,22082,148,3204,170,24,49,13,17,12,285,25897
73701,2014,8,"Yorkshire and The Humber",88,Wakefield,A656,Major,A6032,"Green St",442900,426140,53.72990109,-1.35122879,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",67,192,11246,224,2209,136,68,13,2,31,48,297,14168
74944,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,"A636 Denby Dale Road",A638,432850,420300,53.67814006,-1.50416981,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",27,36,9393,176,1117,89,25,72,3,8,10,207,10929
37464,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,379730,A639,445000,422180,53.69413432,-1.31997478,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",51,243,23825,302,3289,247,74,33,28,80,123,584,28244
73660,2014,8,"Yorkshire and The Humber",88,Wakefield,A637,Major,A636,"LA Boundary",426800,414680,53.62797171,-1.59623877,2.60,1.62,Estimated,"Estimated using previous year's AADF on this link",20,84,9467,31,2533,115,20,30,7,75,25,272,12386
38732,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A635,"B6389 Agbrigg Rd",435000,419265,53.66869864,-1.47173939,0.50,0.31,Counted,"Manual count",108,269,26363,596,3662,659,65,219,30,59,51,1084,31974
74949,2014,8,"Yorkshire and The Humber",88,Wakefield,A162,Major,"A645 Pontefract Road","A1 main route",448180,423380,53.70463623,-1.27163332,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",0,52,3954,14,1140,138,43,84,7,53,137,461,5622
74950,2014,8,"Yorkshire and The Humber",88,Wakefield,A162,Major,"A645 Pontefract Road","A1 main route",448400,423470,53.70542479,-1.26828697,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",0,14,3966,23,1081,124,35,98,10,44,94,406,5489
77591,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A1,"Brockadale Ave",445570,420500,53.67898607,-1.31158933,0.60,0.37,Estimated,"Estimated from nearby links",18,44,4821,57,879,59,10,8,4,11,19,110,5910
77656,2014,8,"Yorkshire and The Humber",88,Wakefield,A642,Major,"Moorhouse Grove, Bottom Boat",M62,435830,425750,53.72692787,-1.45843038,0.80,0.50,Estimated,"Estimated from nearby links",35,77,10636,119,2110,123,44,39,10,12,28,256,13197
77593,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"Trundles Lane","LA Boundary",451500,423710,53.70728585,-1.22129124,0.70,0.43,Estimated,"Estimated from nearby links",40,46,7665,138,1782,103,53,80,14,62,103,415,10047
77618,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"Houndhill Lane","Queen's Ave",444000,420650,53.68046839,-1.33533465,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",57,145,10059,306,1383,142,30,16,13,46,56,303,12196
77650,2014,8,"Yorkshire and The Humber",88,Wakefield,A636,Major,"Hollin Lane",M1,430800,416960,53.64824498,-1.53553299,0.80,0.50,Estimated,"Estimated from nearby links",20,130,15988,63,2508,240,47,52,11,40,45,435,19125
77592,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"Queen's Ave",A639,445070,421500,53.68801681,-1.31901334,0.90,0.56,Estimated,"Estimated from nearby links",64,161,11165,339,1535,158,34,18,14,51,62,336,13537
77617,2014,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"Wentworth Rd","Houndhill Lane",442500,419970,53.67448066,-1.35813531,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",86,126,13260,232,1833,137,45,21,11,20,16,250,15702
77651,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"Wood Lane",A6186,433260,416000,53.63946659,-1.49842198,2.10,1.30,Counted,"Manual count",58,42,8426,74,935,180,35,18,29,70,59,390,9866
77653,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A61,"B6389 Agbrigg Rd",434250,419630,53.67202869,-1.48305024,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",136,296,21999,499,3567,356,83,70,13,52,39,613,26973
74008,2014,8,"Yorkshire and The Humber",88,Wakefield,A162,Major,A645,"LA Boundary",448334,423901,53.70930445,-1.26921959,1.10,0.68,Estimated,"Estimated using previous year's AADF on this link",10,60,10631,27,2157,182,50,103,8,61,158,562,13438
77652,2014,8,"Yorkshire and The Humber",88,Wakefield,A642,Major,"LA Boundary","Bridge Rd, Horbury",427000,417450,53.65285815,-1.59297525,3.80,2.36,Estimated,"Estimated using previous year's AADF on this link",21,111,9029,53,1517,105,35,37,12,43,20,251,10961
77590,2014,8,"Yorkshire and The Humber",88,Wakefield,A628,Major,"Castlegate Drive",A639,445330,420400,53.67810814,-1.31523699,0.70,0.43,Estimated,"Estimated from nearby links",11,116,8207,78,1414,89,7,9,2,7,11,125,9940
73010,2014,8,"Yorkshire and The Humber",88,Wakefield,A628,Major,"LA Boundary",B6422,442710,412000,53.60283220,-1.35604812,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",17,98,8413,74,1495,143,41,64,25,18,207,499,10579
80708,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A655,A6539/A639,442430,424420,53.71448092,-1.35858742,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",110,107,11810,188,2331,158,29,26,6,15,8,241,14678
80615,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,"STUART ROAD",A645,444710,422710,53.69892252,-1.32429010,2.00,1.24,Estimated,"Estimated using previous year's AADF on this link",58,226,19786,265,2684,200,66,50,27,76,175,593,23555
48771,2014,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"LA Boundary","Wood Lane, Newmillerdam",433500,412000,53.60349985,-1.49522107,4.10,2.55,Counted,"Manual count",15,97,5210,34,670,142,29,29,23,64,60,347,6357
81377,2014,8,"Yorkshire and The Humber",88,Wakefield,A6021,Major,"A6021 Elm Farm",A628,444947,412570,53.60776855,-1.32216356,3.70,2.30,Estimated,"Estimated using previous year's AADF on this link",30,95,5029,10,800,121,28,60,46,91,159,503,6437
81291,2014,8,"Yorkshire and The Humber",88,Wakefield,A655,Major,"B6133 Church Lane","B6134 Havertop Lane",440046,422267,53.69531846,-1.39498451,1.10,0.68,Estimated,"Estimated using previous year's AADF on this link",44,94,13993,55,1661,125,63,57,5,26,28,304,16107
81325,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,"A628 Acton Moor Top","A6021 Elm Farm",445000,415170,53.63113176,-1.32098784,5.10,3.17,Estimated,"Estimated using previous year's AADF on this link",45,149,7164,47,1242,121,18,26,13,22,37,237,8839
81293,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A639,A639,442887,424369,53.71398530,-1.35167058,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",80,308,19165,218,1924,151,40,40,4,21,24,280,21895
81327,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,"LA Boundary","A6021 Dale lane",448785,412056,53.60280654,-1.26424298,1.50,0.93,Estimated,"Estimated using previous year's AADF on this link",24,94,6361,13,1072,201,57,58,65,232,281,894,8433
80434,2014,8,"Yorkshire and The Humber",88,Wakefield,A6539,Major,A639,A656,443350,424580,53.71584352,-1.34462642,0.70,0.43,Counted,"Manual count",75,157,15568,176,1783,269,41,63,12,7,3,395,18078
80433,2014,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A6539/A639,M62,443630,423830,53.70907963,-1.34048949,1.90,1.18,Counted,"Manual count",27,63,8042,180,1080,86,26,19,5,21,19,176,9541
81550,2014,8,"Yorkshire and The Humber",88,Wakefield,A1,Major,A1(M),A639,449700,416000,53.63816727,-1.24978890,7.80,4.85,Counted,"Manual count",0,223,49605,192,9865,2129,400,486,729,3922,4630,12296,72181
949800,2014,8,"Yorkshire and The Humber",88,Wakefield,C,Minor,,,439094,424479,53.71527098,-1.40912327,,,Counted,"Manual count",32,48,4569,95,687,70,1,3,2,2,1,78,5477
949802,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,437639,424514,53.71569218,-1.43116406,,,Counted,"Manual count",56,0,186,0,24,2,0,0,0,0,0,2,212
77594,2014,8,"Yorkshire and The Humber",88,Wakefield,A656,Major,"Green St","LA Boundary",442750,426360,53.73189062,-1.35347191,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",16,173,6556,30,1605,101,44,26,9,57,61,298,8662
949807,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,448233,413887,53.61931364,-1.27230117,,,Estimated,"Estimated using previous year's AADF on this link",20,1,778,0,142,2,0,0,0,0,0,2,922
949797,2014,8,"Yorkshire and The Humber",88,Wakefield,B6421,Minor,,,442755,421236,53.68583817,-1.35410154,,,Counted,"Manual count",52,77,7093,105,914,115,6,6,6,6,3,142,8330
949798,2014,8,"Yorkshire and The Humber",88,Wakefield,C,Minor,,,447650,418271,53.65876802,-1.28044402,,,Counted,"Manual count",28,1,297,0,34,3,0,1,1,0,0,5,337
81378,2014,8,"Yorkshire and The Humber",88,Wakefield,A6021,Major,"A6021 Dale lane",A1,449429,413206,53.61308193,-1.25432987,3.70,2.30,Estimated,"Estimated using previous year's AADF on this link",23,86,6167,73,1456,228,54,112,40,303,301,1038,8819
81551,2014,8,"Yorkshire and The Humber",88,Wakefield,A162,Major,A1(M),M62,448560,421710,53.68959220,-1.26613851,1.90,1.18,Counted,"Manual count",2,42,8835,62,1964,299,102,186,113,370,570,1640,12543
7396,2015,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,A628,A645,440000,417650,53.65382603,-1.39627446,7.30,4.54,Estimated,"Estimated using previous year's AADF on this link",47,131,14699,210,1803,247,26,109,38,25,34,478,17322
7419,2015,8,"Yorkshire and The Humber",88,Wakefield,A655,Major,A639,A6032,441400,425000,53.71977618,-1.37411537,1.90,1.18,Estimated,"Estimated using previous year's AADF on this link",88,101,11989,278,2696,166,67,90,6,17,29,376,15441
949827,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,431113,420211,53.67744606,-1.53047363,,,Counted,"Manual count",36,24,1658,4,148,4,2,0,0,0,0,6,1840
81552,2014,8,"Yorkshire and The Humber",88,Wakefield,A1(M),Major,M62,A1(T),448330,421490,53.68763626,-1.26965527,4.35,2.70,Estimated,"Estimated using previous year's AADF on this link",0,145,39667,126,9795,1848,397,299,658,3468,5543,12213,61946
81554,2014,8,"Yorkshire and The Humber",88,Wakefield,M62,Major,"A1(M) junction","Junction 34",447680,423370,53.70459214,-1.27920833,2.35,1.46,Estimated,"Estimated using previous year's AADF on this link",0,74,39510,165,9334,1617,472,571,654,4341,5073,12728,61811
81556,2014,8,"Yorkshire and The Humber",88,Wakefield,A1(M),Major,M62,"LA Boundary",446980,425700,53.72559606,-1.28945852,2.90,1.80,Counted,"Manual count",0,102,42337,155,7605,1847,385,399,682,4074,4938,12325,62525
949809,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,428920,419925,53.67500099,-1.56369770,,,Counted,"Manual count",19,4,1119,11,114,9,1,0,0,0,0,10,1258
949818,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,442798,425090,53.72047258,-1.35291957,,,Counted,"Manual count",7,4,845,0,89,8,0,0,0,0,0,8,946
949817,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,428300,420423,53.67951076,-1.57303747,,,Counted,"Manual count",7,8,597,0,79,12,1,0,0,0,0,13,697
949786,2014,8,"Yorkshire and The Humber",88,Wakefield,B6273,Minor,,,440646,416654,53.64482466,-1.38663095,,,Counted,"Manual count",31,56,4569,113,604,155,15,1,6,4,4,185,5527
949788,2014,8,"Yorkshire and The Humber",88,Wakefield,B6422,Minor,,,443540,412254,53.60504695,-1.34347083,,,Counted,"Manual count",46,90,6516,124,858,88,12,3,9,12,17,142,7731
949805,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,446218,414960,53.62913853,-1.30260193,,,Counted,"Manual count",2,0,383,1,27,1,0,0,0,0,0,1,412
7375,2015,8,"Yorkshire and The Humber",88,Wakefield,A639,Major,A645,A628,445460,421000,53.68348937,-1.31318141,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",57,184,14640,95,2698,247,71,52,5,23,34,433,18052
7407,2015,8,"Yorkshire and The Humber",88,Wakefield,A645,Major,"A645 spur","Trundles Lane",450030,423800,53.70823732,-1.24354396,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",40,45,8590,164,2053,107,59,83,19,66,109,443,11295
949829,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,445287,425597,53.72481968,-1.31513028,,,Counted,"Manual count",11,3,313,0,32,4,0,0,0,0,0,4,353
949790,2014,8,"Yorkshire and The Humber",88,Wakefield,B6117,Minor,,,427354,418126,53.65891568,-1.58756025,,,Counted,"Manual count",52,66,5313,5,1010,97,22,33,14,14,17,196,6589
16578,2015,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"A650 Bradford Road","A650 Roundabout",432770,422000,53.69342431,-1.50520187,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",86,201,25038,274,3322,254,73,45,30,41,63,505,29340
949796,2014,8,"Yorkshire and The Humber",88,Wakefield,B6128,Minor,,,428308,419933,53.67510626,-1.57296088,,,Counted,"Manual count",133,88,7494,139,1105,43,4,4,3,3,10,66,8892
949828,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,440707,424150,53.71219112,-1.38472765,,,Counted,"Manual count",12,7,316,0,42,2,0,0,0,0,0,2,368
81290,2014,8,"Yorkshire and The Humber",88,Wakefield,A655,Major,"B6134 Havertop Lane",M62,440000,423110,53.70289852,-1.39557264,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",21,122,16445,39,2871,296,97,128,31,151,248,952,20429
81292,2014,8,"Yorkshire and The Humber",88,Wakefield,A6539,Major,"B6134 Havertop Lane",A639,441434,423040,53.70215789,-1.37386169,3.10,1.93,Estimated,"Estimated using previous year's AADF on this link",47,84,7467,19,1091,63,26,22,1,8,7,127,8788
81326,2014,8,"Yorkshire and The Humber",88,Wakefield,A638,Major,"A6021 Elm Farm","A6021 Dale lane",447592,412490,53.60681656,-1.28220370,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",14,54,5860,34,1135,171,38,286,31,105,128,759,7843
949826,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,440089,423366,53.70519254,-1.39419155,,,Counted,"Manual count",65,39,3083,0,558,219,54,4,21,304,298,900,4581
81553,2014,8,"Yorkshire and The Humber",88,Wakefield,M62,Major,"Junction 32","A1(M) junction",445300,423950,53.71001625,-1.31517368,3.00,1.86,Counted,"Manual count",0,222,54470,238,13132,3357,705,793,674,5826,6314,17669,85730
949789,2014,8,"Yorkshire and The Humber",88,Wakefield,B6428,Minor,,,440270,415028,53.63023967,-1.39252818,,,Counted,"Manual count",23,69,3977,60,672,85,7,9,1,1,8,111,4889
26605,2015,8,"Yorkshire and The Humber",88,Wakefield,A61,Major,"A638 intersection",A642,433550,421000,53.68438719,-1.49349773,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",35,192,18079,131,3549,443,80,97,21,43,44,728,22680
7399,2015,8,"Yorkshire and The Humber",88,Wakefield,A656,Major,A656,M62,444050,424300,53.71326857,-1.33406034,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",43,113,16894,190,2651,215,127,73,18,52,58,542,20389
949819,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,445729,422791,53.69956250,-1.30884541,,,Counted,"Manual count",20,0,110,0,8,1,1,0,2,0,0,5,122
949821,2014,8,"Yorkshire and The Humber",88,Wakefield,U,Minor,,,427570,421797,53.69189897,-1.58396712,,,Counted,"Manual count",18,16,564,1,66,7,0,0,0,0,0,7,654
36008,2015,8,"Yorkshire and The Humber",88,Wakefield,M1,Major,"LA boundary",39,430180,414300,53.62437312,-1.54516910,5.40,3.36,Estimated,"Estimated using previous year's AADF on this link",0,253,59810,368,13470,2865,532,300,713,2567,2804,9779,83681
27419,2015,8,"Yorkshire and The Humber",88,Wakefield,A642,Major,A61,"Moorhouse Grove, Bottom Boat",435000,424200,53.71305311,-1.47118415,5.10,3.17,Estimated,"Estimated using previous year's AADF on this link",35,75,11919,140,2432,128,50,40,13,13,30,274,14839
